x;y;size;color
727;193;15;JAUNE
698;176;15;JAUNE
741;148;15;JAUNE
719;163;15;JAUNE
716;173;15;JAUNE
709;180;15;JAUNE
751;146;15;JAUNE
741;170;15;JAUNE
730;139;15;JAUNE
726;208;15;JAUNE
707;186;15;JAUNE
723;138;15;JAUNE
740;167;15;JAUNE
709;167;15;JAUNE
687;161;15;JAUNE
757;176;15;JAUNE
718;218;15;JAUNE
713;144;15;JAUNE
729;147;15;JAUNE
716;169;15;JAUNE
712;166;15;JAUNE
740;148;15;JAUNE
735;149;15;JAUNE
720;135;15;JAUNE
716;206;15;JAUNE
713;201;15;JAUNE
718;193;15;JAUNE
756;168;15;JAUNE
746;153;15;JAUNE
728;206;15;JAUNE
733;151;15;JAUNE
755;173;15;JAUNE
698;136;15;JAUNE
727;155;15;JAUNE
711;150;15;JAUNE
726;138;15;JAUNE
723;194;15;JAUNE
729;189;15;JAUNE
714;209;15;JAUNE
705;188;15;JAUNE
689;154;15;JAUNE
709;214;15;JAUNE
689;149;15;JAUNE
720;200;15;JAUNE
712;147;15;JAUNE
693;177;15;JAUNE
719;190;15;JAUNE
743;145;15;JAUNE
723;212;15;JAUNE
761;165;15;JAUNE
724;155;15;JAUNE
708;217;15;JAUNE
727;153;15;JAUNE
702;181;15;JAUNE
723;162;15;JAUNE
708;165;15;JAUNE
726;170;15;JAUNE
698;154;15;JAUNE
734;133;15;JAUNE
719;130;15;JAUNE
752;176;15;JAUNE
732;167;15;JAUNE
709;184;15;JAUNE
728;198;15;JAUNE
701;148;15;JAUNE
715;148;15;JAUNE
676;158;15;JAUNE
738;139;15;JAUNE
704;140;15;JAUNE
673;173;15;JAUNE
708;147;15;JAUNE
728;135;15;JAUNE
697;157;15;JAUNE
690;161;15;JAUNE
712;199;15;JAUNE
742;168;15;JAUNE
705;171;15;JAUNE
712;130;15;JAUNE
701;176;15;JAUNE
721;138;15;JAUNE
702;179;15;JAUNE
723;202;15;JAUNE
716;198;15;JAUNE
704;149;15;JAUNE
733;159;15;JAUNE
744;165;15;JAUNE
734;216;15;JAUNE
742;151;15;JAUNE
742;177;15;JAUNE
718;188;15;JAUNE
740;145;15;JAUNE
703;138;15;JAUNE
737;217;15;JAUNE
717;184;15;JAUNE
723;179;15;JAUNE
708;203;15;JAUNE
750;158;15;JAUNE
727;156;15;JAUNE
707;150;15;JAUNE
726;204;15;JAUNE
745;160;15;JAUNE
725;174;15;JAUNE
755;159;15;JAUNE
704;178;15;JAUNE
701;141;15;JAUNE
714;135;15;JAUNE
709;186;15;JAUNE
706;164;15;JAUNE
706;161;15;JAUNE
703;154;15;JAUNE
705;220;15;JAUNE
691;152;15;JAUNE
695;169;15;JAUNE
709;173;15;JAUNE
704;149;15;JAUNE
746;174;15;JAUNE
707;138;15;JAUNE
727;154;15;JAUNE
711;209;15;JAUNE
690;146;15;JAUNE
710;182;15;JAUNE
698;136;15;JAUNE
697;143;15;JAUNE
733;216;15;JAUNE
705;138;15;JAUNE
755;164;15;JAUNE
712;145;15;JAUNE
741;141;15;JAUNE
714;156;15;JAUNE
748;170;15;JAUNE
760;165;15;JAUNE
734;211;15;JAUNE
712;159;15;JAUNE
674;172;15;JAUNE
702;145;15;JAUNE
728;159;15;JAUNE
724;137;15;JAUNE
705;157;15;JAUNE
724;157;15;JAUNE
722;157;15;JAUNE
733;138;15;JAUNE
686;149;15;JAUNE
702;211;15;JAUNE
709;141;15;JAUNE
760;174;15;JAUNE
673;165;15;JAUNE
710;183;15;JAUNE
734;167;15;JAUNE
723;215;15;JAUNE
727;186;15;JAUNE
724;173;15;JAUNE
720;207;15;JAUNE
729;190;15;JAUNE
711;149;15;JAUNE
724;144;15;JAUNE
701;168;15;JAUNE
718;213;15;JAUNE
704;157;15;JAUNE
727;182;15;JAUNE
750;173;15;JAUNE
702;149;15;JAUNE
709;169;15;JAUNE
745;161;15;JAUNE
730;165;15;JAUNE
704;185;15;JAUNE
723;202;15;JAUNE
729;152;15;JAUNE
714;195;15;JAUNE
761;171;15;JAUNE
725;160;15;JAUNE
718;144;15;JAUNE
677;161;15;JAUNE
692;144;15;JAUNE
733;146;15;JAUNE
683;160;15;JAUNE
712;140;15;JAUNE
714;199;15;JAUNE
714;186;15;JAUNE
726;200;15;JAUNE
736;147;15;JAUNE
699;148;15;JAUNE
712;165;15;JAUNE
679;163;15;JAUNE
735;170;15;JAUNE
756;167;15;JAUNE
711;164;15;JAUNE
713;136;15;JAUNE
712;141;15;JAUNE
683;160;15;JAUNE
722;216;15;JAUNE
728;151;15;JAUNE
709;193;15;JAUNE
735;136;15;JAUNE
749;164;15;JAUNE
691;169;15;JAUNE
740;163;15;JAUNE
728;216;15;JAUNE
744;161;15;JAUNE
704;153;15;JAUNE
735;216;15;JAUNE
675;164;15;JAUNE
697;140;15;JAUNE
707;209;15;JAUNE
719;143;15;JAUNE
716;221;15;JAUNE
764;239;15;JAUNE
712;217;15;JAUNE
739;229;15;JAUNE
715;219;15;JAUNE
758;250;15;JAUNE
772;217;15;JAUNE
704;230;15;JAUNE
681;222;15;JAUNE
725;235;15;JAUNE
694;248;15;JAUNE
741;237;15;JAUNE
756;216;15;JAUNE
724;213;15;JAUNE
689;219;15;JAUNE
750;232;15;JAUNE
751;250;15;JAUNE
690;231;15;JAUNE
703;250;15;JAUNE
757;238;15;JAUNE
690;245;15;JAUNE
716;203;15;JAUNE
697;243;15;JAUNE
699;250;15;JAUNE
740;239;15;JAUNE
717;231;15;JAUNE
716;219;15;JAUNE
752;233;15;JAUNE
742;254;15;JAUNE
723;177;15;JAUNE
766;242;15;JAUNE
771;222;15;JAUNE
761;230;15;JAUNE
699;231;15;JAUNE
738;238;15;JAUNE
726;198;15;JAUNE
747;219;15;JAUNE
752;246;15;JAUNE
713;217;15;JAUNE
711;180;15;JAUNE
739;226;15;JAUNE
740;241;15;JAUNE
697;224;15;JAUNE
733;230;15;JAUNE
699;219;15;JAUNE
740;248;15;JAUNE
740;249;15;JAUNE
736;215;15;JAUNE
717;243;15;JAUNE
708;219;15;JAUNE
708;199;15;JAUNE
749;237;15;JAUNE
738;242;15;JAUNE
698;232;15;JAUNE
731;176;15;JAUNE
740;264;15;JAUNE
758;244;15;JAUNE
704;240;15;JAUNE
744;216;15;JAUNE
710;188;15;JAUNE
724;250;15;JAUNE
761;243;15;JAUNE
721;185;15;JAUNE
718;231;15;JAUNE
709;238;15;JAUNE
766;212;15;JAUNE
714;254;15;JAUNE
719;258;15;JAUNE
718;193;15;JAUNE
724;265;15;JAUNE
715;181;15;JAUNE
727;251;15;JAUNE
724;205;15;JAUNE
760;235;15;JAUNE
761;215;15;JAUNE
713;203;15;JAUNE
691;244;15;JAUNE
733;179;15;JAUNE
700;237;15;JAUNE
766;228;15;JAUNE
729;178;15;JAUNE
754;253;15;JAUNE
724;219;15;JAUNE
743;222;15;JAUNE
706;185;15;JAUNE
731;247;15;JAUNE
758;229;15;JAUNE
732;216;15;JAUNE
726;266;15;JAUNE
753;240;15;JAUNE
719;252;15;JAUNE
722;180;15;JAUNE
724;212;15;JAUNE
701;251;15;JAUNE
685;231;15;JAUNE
721;234;15;JAUNE
770;228;15;JAUNE
745;249;15;JAUNE
710;234;15;JAUNE
768;223;15;JAUNE
755;245;15;JAUNE
723;190;15;JAUNE
733;264;15;JAUNE
699;221;15;JAUNE
713;209;15;JAUNE
693;252;15;JAUNE
759;222;15;JAUNE
720;229;15;JAUNE
687;231;15;JAUNE
727;253;15;JAUNE
696;254;15;JAUNE
704;233;15;JAUNE
726;209;15;JAUNE
741;220;15;JAUNE
682;225;15;JAUNE
745;235;15;JAUNE
728;247;15;JAUNE
738;258;15;JAUNE
690;221;15;JAUNE
704;219;15;JAUNE
701;218;15;JAUNE
690;218;15;JAUNE
725;208;15;JAUNE
713;196;15;JAUNE
701;256;15;JAUNE
750;234;15;JAUNE
758;234;15;JAUNE
696;250;15;JAUNE
732;175;15;JAUNE
750;240;15;JAUNE
707;244;15;JAUNE
717;178;15;JAUNE
711;242;15;JAUNE
747;226;15;JAUNE
757;236;15;JAUNE
732;242;15;JAUNE
717;191;15;JAUNE
730;179;15;JAUNE
720;178;15;JAUNE
707;229;15;JAUNE
758;230;15;JAUNE
687;226;15;JAUNE
770;224;15;JAUNE
738;214;15;JAUNE
745;249;15;JAUNE
693;230;15;JAUNE
724;229;15;JAUNE
723;217;15;JAUNE
694;228;15;JAUNE
704;247;15;JAUNE
716;211;15;JAUNE
762;242;15;JAUNE
759;214;15;JAUNE
744;217;15;JAUNE
717;256;15;JAUNE
697;239;15;JAUNE
721;247;15;JAUNE
693;242;15;JAUNE
733;224;15;JAUNE
695;244;15;JAUNE
764;228;15;JAUNE
688;227;15;JAUNE
713;241;15;JAUNE
708;246;15;JAUNE
708;218;15;JAUNE
731;234;15;JAUNE
701;231;15;JAUNE
707;245;15;JAUNE
769;220;15;JAUNE
729;259;15;JAUNE
687;225;15;JAUNE
764;247;15;JAUNE
738;179;15;JAUNE
760;236;15;JAUNE
747;249;15;JAUNE
748;231;15;JAUNE
740;235;15;JAUNE
715;176;15;JAUNE
731;223;15;JAUNE
723;235;15;JAUNE
699;253;15;JAUNE
727;198;15;JAUNE
769;223;15;JAUNE
718;232;15;JAUNE
736;243;15;JAUNE
715;211;15;JAUNE
708;232;15;JAUNE
768;226;15;JAUNE
736;216;15;JAUNE
754;238;15;JAUNE
725;177;15;JAUNE
724;221;15;JAUNE
761;244;15;JAUNE
744;216;15;JAUNE
714;259;15;JAUNE
746;229;15;JAUNE
693;226;15;JAUNE
719;176;15;JAUNE
725;255;15;JAUNE
747;228;15;JAUNE
728;265;15;JAUNE
711;185;15;JAUNE
712;201;15;JAUNE
712;194;15;JAUNE
714;231;15;JAUNE
724;239;15;JAUNE
762;222;15;JAUNE
720;255;15;JAUNE
724;197;15;JAUNE
704;265;15;JAUNE
698;235;15;JAUNE
758;230;15;JAUNE
720;201;15;JAUNE
719;222;15;JAUNE
730;252;15;JAUNE
736;229;15;JAUNE
690;260;15;JAUNE
740;250;15;JAUNE
742;265;15;JAUNE
713;241;15;JAUNE
751;253;15;JAUNE
734;210;15;JAUNE
744;238;15;JAUNE
722;190;15;JAUNE
707;212;15;JAUNE
733;257;15;JAUNE
759;236;15;JAUNE
758;255;15;JAUNE
719;219;15;JAUNE
741;225;15;JAUNE
690;229;15;JAUNE
720;188;15;JAUNE
725;209;15;JAUNE
731;220;15;JAUNE
713;185;15;JAUNE
752;252;15;JAUNE
714;199;15;JAUNE
740;262;15;JAUNE
750;242;15;JAUNE
698;241;15;JAUNE
731;242;15;JAUNE
704;235;15;JAUNE
748;246;15;JAUNE
712;209;15;JAUNE
708;217;15;JAUNE
744;216;15;JAUNE
709;206;15;JAUNE
764;236;15;JAUNE
719;244;15;JAUNE
693;237;15;JAUNE
740;231;15;JAUNE
693;263;15;JAUNE
720;245;15;JAUNE
709;206;15;JAUNE
691;236;15;JAUNE
751;221;15;JAUNE
758;231;15;JAUNE
695;218;15;JAUNE
708;259;15;JAUNE
747;259;15;JAUNE
706;210;15;JAUNE
741;227;15;JAUNE
678;227;15;JAUNE
684;224;15;JAUNE
679;217;15;JAUNE
689;249;15;JAUNE
718;265;15;JAUNE
760;248;15;JAUNE
739;267;15;JAUNE
730;267;15;JAUNE
736;248;15;JAUNE
735;222;15;JAUNE
741;266;15;JAUNE
712;263;15;JAUNE
757;254;15;JAUNE
708;237;15;JAUNE
687;226;15;JAUNE
748;250;15;JAUNE
687;231;15;JAUNE
739;231;15;JAUNE
705;240;15;JAUNE
677;227;15;JAUNE
735;262;15;JAUNE
729;250;15;JAUNE
741;254;15;JAUNE
690;222;15;JAUNE
709;227;15;JAUNE
700;240;15;JAUNE
684;234;15;JAUNE
698;215;15;JAUNE
703;248;15;JAUNE
718;207;15;JAUNE
708;240;15;JAUNE
713;263;15;JAUNE
707;271;15;JAUNE
699;222;15;JAUNE
704;214;15;JAUNE
730;188;15;JAUNE
721;268;15;JAUNE
715;259;15;JAUNE
744;216;15;JAUNE
715;262;15;JAUNE
730;230;15;JAUNE
698;260;15;JAUNE
705;218;15;JAUNE
691;225;15;JAUNE
765;229;15;JAUNE
691;224;15;JAUNE
715;238;15;JAUNE
764;235;15;JAUNE
696;242;15;JAUNE
712;262;15;JAUNE
718;266;15;JAUNE
717;230;15;JAUNE
739;214;15;JAUNE
753;216;15;JAUNE
699;267;15;JAUNE
705;257;15;JAUNE
721;199;15;JAUNE
706;268;15;JAUNE
759;233;15;JAUNE
714;186;15;JAUNE
692;261;15;JAUNE
699;223;15;JAUNE
687;245;15;JAUNE
698;252;15;JAUNE
707;244;15;JAUNE
703;226;15;JAUNE
722;208;15;JAUNE
680;228;15;JAUNE
710;203;15;JAUNE
752;239;15;JAUNE
761;219;15;JAUNE
760;214;15;JAUNE
714;215;15;JAUNE
678;242;15;JAUNE
762;238;15;JAUNE
742;233;15;JAUNE
725;246;15;JAUNE
678;237;15;JAUNE
744;245;15;JAUNE
767;222;15;JAUNE
720;271;15;JAUNE
683;236;15;JAUNE
762;224;15;JAUNE
722;273;15;JAUNE
748;216;15;JAUNE
677;236;15;JAUNE
731;264;15;JAUNE
742;249;15;JAUNE
683;251;15;JAUNE
705;229;15;JAUNE
720;236;15;JAUNE
745;250;15;JAUNE
680;218;15;JAUNE
704;243;15;JAUNE
738;262;15;JAUNE
729;190;15;JAUNE
694;239;15;JAUNE
693;246;15;JAUNE
708;255;15;JAUNE
697;253;15;JAUNE
692;219;15;JAUNE
717;223;15;JAUNE
716;185;15;JAUNE
683;218;15;JAUNE
762;240;15;JAUNE
725;182;15;JAUNE
699;251;15;JAUNE
750;220;15;JAUNE
702;212;15;JAUNE
726;264;15;JAUNE
677;222;15;JAUNE
701;258;15;JAUNE
